序號,答案
20240224113001,239.15
20240224114001,235.33
20240224115001,231.53
20240224120001,227.59
20240224121001,223.43
20240224122001,219.04
20240224123001,214.39
20240224124001,209.54
20240224125001,204.5
20240224130001,199.32
20240224131001,194.05
20240224132001,188.71
20240224133001,183.31
20240224134001,177.85
20240224135001,172.3
20240224140001,166.68
20240224141001,160.96
20240224142001,155.15
20240224143001,149.24
20240224144001,143.22
20240224145001,137.09
20240224150001,130.83
20240224151001,124.44
20240224152001,117.9
20240224153001,111.19
20240224154001,104.29
20240224155001,97.17
20240224160001,89.81
20240224161001,82.17
20240224162001,74.21
20240224163001,65.88
20240224164001,57.14
20240224165001,47.91
20240226090001,75.71
20240226091001,242.46
20240226092001,222.41
20240226093001,213.58
20240226094001,214.79
20240226095001,224.59
20240226100001,235.53
20240226101001,245.11
20240226102001,251.1
20240226103001,255.01
20240226104001,256.61
20240226105001,255.71
20240226110001,253.45
20240226111001,247.89
20240226112001,243.23
20240226113001,239.15
20240226114001,235.33
20240226115001,231.53
20240226120001,227.59
20240226121001,223.43
20240226122001,219.04
20240226123001,214.39
20240226124001,209.54
20240226125001,204.5
20240226130001,199.32
20240226131001,194.05
20240226132001,188.71
20240226133001,183.31
20240226134001,177.85
20240226135001,172.3
20240226140001,166.68
20240226141001,160.96
20240226142001,155.15
20240226143001,149.24
20240226144001,143.22
20240226145001,137.09
20240226150001,130.83
20240226151001,124.44
20240226152001,117.9
20240226153001,111.19
20240226154001,104.29
20240226155001,97.17
20240226160001,89.81
20240226161001,82.17
20240226162001,74.21
20240226163001,65.88
20240226164001,57.14
20240226165001,47.91
20240327090001,230.16
20240327091001,254.91
20240327092001,258.61
20240327093001,232.41
20240327094001,230.49
20240327095001,233.77
20240327100001,237.58
20240327101001,241.91
20240327102001,246.24
20240327103001,250.13
20240327104001,252.52
20240327105001,253.75
20240327110001,253.45
20240327111001,247.89
20240327112001,243.23
20240327113001,239.15
20240327114001,235.33
20240327115001,231.53
20240327120001,227.59
20240327121001,223.43
20240327122001,219.04
20240327123001,214.39
20240327124001,209.54
20240327125001,204.5
20240327130001,199.32
20240327131001,194.05
20240327132001,188.71
20240327133001,183.31
20240327134001,177.85
20240327135001,172.3
20240327140001,166.68
20240327141001,160.96
20240327142001,155.15
20240327143001,149.24
20240327144001,143.22
20240327145001,137.09
20240327150001,130.83
20240327151001,124.44
20240327152001,117.9
20240327153001,111.19
20240327154001,104.29
20240327155001,97.17
20240327160001,89.81
20240327161001,82.17
20240327162001,74.21
20240327163001,65.88
20240327164001,57.14
20240327165001,47.91
20240329090001,91.95
20240329091001,328.81
20240329092001,234.96
20240329093001,234.7
20240329094001,245.14
20240329095001,249.85
20240329100001,250.53
20240329101001,250.74
20240329102001,251.94
20240329103001,253.15
20240329104001,254.18
20240329105001,254.61
20240329110001,253.45
20240329111001,247.89
20240329112001,243.23
20240329113001,239.15
20240329114001,235.33
20240329115001,231.53
20240329120001,227.59
20240329121001,223.43
20240329122001,219.04
20240329123001,214.39
20240329124001,209.54
20240329125001,204.5
20240329130001,199.32
20240329131001,194.05
20240329132001,188.71
20240329133001,183.31
20240329134001,177.85
20240329135001,172.3
20240329140001,166.68
20240329141001,160.96
20240329142001,155.15
20240329143001,149.24
20240329144001,143.22
20240329145001,137.09
20240329150001,130.83
20240329151001,124.44
20240329152001,117.9
20240329153001,111.19
20240329154001,104.29
20240329155001,97.17
20240329160001,89.81
20240329161001,82.17
20240329162001,74.21
20240329163001,65.88
20240329164001,57.14
20240329165001,47.91
20240428090001,344.58
20240428091001,269.4
20240428092001,208.83
20240428093001,221.07
20240428094001,240.24
20240428095001,250.92
20240428100001,254.57
20240428101001,256.52
20240428102001,258.01
20240428103001,259.5
20240428104001,259.32
20240428105001,257.45
20240428110001,253.45
20240428111001,247.89
20240428112001,243.23
20240428113001,239.15
20240428114001,235.33
20240428115001,231.53
20240428120001,227.59
20240428121001,223.43
20240428122001,219.04
20240428123001,214.39
20240428124001,209.54
20240428125001,204.5
20240428130001,199.32
20240428131001,194.05
20240428132001,188.71
20240428133001,183.31
20240428134001,177.85
20240428135001,172.3
20240428140001,166.68
20240428141001,160.96
20240428142001,155.15
20240428143001,149.24
20240428144001,143.22
20240428145001,137.09
20240428150001,130.83
20240428151001,124.44
20240428152001,117.9
20240428153001,111.19
20240428154001,104.29
20240428155001,97.17
20240428160001,89.81
20240428161001,82.17
20240428162001,74.21
20240428163001,65.88
20240428164001,57.14
20240428165001,47.91
20240430090001,798.34
20240430091001,159.63
20240430092001,327.02
20240430093001,286.1
20240430094001,303.82
20240430095001,292.11
20240430100001,274.46
20240430101001,261.7
20240430102001,255.69
20240430103001,254.38
20240430104001,254.84
20240430105001,255.22
20240430110001,253.45
20240430111001,247.89
20240430112001,243.23
20240430113001,239.15
20240430114001,235.33
20240430115001,231.53
20240430120001,227.59
20240430121001,223.43
20240430122001,219.04
20240430123001,214.39
20240430124001,209.54
20240430125001,204.5
20240430130001,199.32
20240430131001,194.05
20240430132001,188.71
20240430133001,183.31
20240430134001,177.85
20240430135001,172.3
20240430140001,166.68
20240430141001,160.96
20240430142001,155.15
20240430143001,149.24
20240430144001,143.22
20240430145001,137.09
20240430150001,130.83
20240430151001,124.44
20240430152001,117.9
20240430153001,111.19
20240430154001,104.29
20240430155001,97.17
20240430160001,89.81
20240430161001,82.17
20240430162001,74.21
20240430163001,65.88
20240430164001,57.14
20240430165001,47.91
20240515090001,893.25
20240515091001,124.9
20240515092001,413.18
20240515093001,317.26
20240515094001,314.74
20240515095001,284.78
20240515100001,262.32
20240515101001,250.25
20240515102001,246.87
20240515103001,248.27
20240515104001,250.98
20240515105001,253.2
20240515110001,253.45
20240515111001,247.89
20240515112001,243.23
20240515113001,239.15
20240515114001,235.33
20240515115001,231.53
20240515120001,227.59
20240515121001,223.43
20240515122001,219.04
20240515123001,214.39
20240515124001,209.54
20240515125001,204.5
20240515130001,199.32
20240515131001,194.05
20240515132001,188.71
20240515133001,183.31
20240515134001,177.85
20240515135001,172.3
20240515140001,166.68
20240515141001,160.96
20240515142001,155.15
20240515143001,149.24
20240515144001,143.22
20240515145001,137.09
20240515150001,130.83
20240515151001,124.44
20240515152001,117.9
20240515153001,111.19
20240515154001,104.29
20240515155001,97.17
20240515160001,89.81
20240515161001,82.17
20240515162001,74.21
20240515163001,65.88
20240515164001,57.14
20240515165001,47.91
20240520090001,515.28
20240520091001,161.3
20240520092001,284.22
20240520093001,259.74
20240520094001,277.95
20240520095001,274.07
20240520100001,262.85
20240520101001,254.87
20240520102001,251.92
20240520103001,251.69
20240520104001,252.74
20240520105001,253.69
20240520110001,253.45
20240520111001,247.89
20240520112001,243.23
20240520113001,239.15
20240520114001,235.33
20240520115001,231.53
20240520120001,227.59
20240520121001,223.43
20240520122001,219.04
20240520123001,214.39
20240520124001,209.54
20240520125001,204.5
20240520130001,199.32
20240520131001,194.05
20240520132001,188.71
20240520133001,183.31
20240520134001,177.85
20240520135001,172.3
20240520140001,166.68
20240520141001,160.96
20240520142001,155.15
20240520143001,149.24
20240520144001,143.22
20240520145001,137.09
20240520150001,130.83
20240520151001,124.44
20240520152001,117.9
20240520153001,111.19
20240520154001,104.29
20240520155001,97.17
20240520160001,89.81
20240520161001,82.17
20240520162001,74.21
20240520163001,65.88
20240520164001,57.14
20240520165001,47.91
20240613090001,183.87
20240613091001,389.55
20240613092001,257.45
20240613093001,253.43
20240613094001,273.43
20240613095001,274.66
20240613100001,267.58
20240613101001,261.38
20240613102001,258.5
20240613103001,257.66
20240613104001,256.83
20240613105001,255.61
20240613110001,253.45
20240613111001,247.89
20240613112001,243.23
20240613113001,239.15
20240613114001,235.33
20240613115001,231.53
20240613120001,227.59
20240613121001,223.43
20240613122001,219.04
20240613123001,214.39
20240613124001,209.54
20240613125001,204.5
20240613130001,199.32
20240613131001,194.05
20240613132001,188.71
20240613133001,183.31
20240613134001,177.85
20240613135001,172.3
20240613140001,166.68
20240613141001,160.96
20240613142001,155.15
20240613143001,149.24
20240613144001,143.22
20240613145001,137.09
20240613150001,130.83
20240613151001,124.44
20240613152001,117.9
20240613153001,111.19
20240613154001,104.29
20240613155001,97.17
20240613160001,89.81
20240613161001,82.17
20240613162001,74.21
20240613163001,65.88
20240613164001,57.14
20240613165001,47.91
20240615090001,623.76
20240615091001,73.6
20240615092001,339.47
20240615093001,303.78
20240615094001,326.39
20240615095001,298.54
20240615100001,271.45
20240615101001,254.24
20240615102001,248.02
20240615103001,247.96
20240615104001,250.2
20240615105001,252.72
20240615110001,253.45
20240615111001,247.89
20240615112001,243.23
20240615113001,239.15
20240615114001,235.33
20240615115001,231.53
20240615120001,227.59
20240615121001,223.43
20240615122001,219.04
20240615123001,214.39
20240615124001,209.54
20240615125001,204.5
20240615130001,199.32
20240615131001,194.05
20240615132001,188.71
20240615133001,183.31
20240615134001,177.85
20240615135001,172.3
20240615140001,166.68
20240615141001,160.96
20240615142001,155.15
20240615143001,149.24
20240615144001,143.22
20240615145001,137.09
20240615150001,130.83
20240615151001,124.44
20240615152001,117.9
20240615153001,111.19
20240615154001,104.29
20240615155001,97.17
20240615160001,89.81
20240615161001,82.17
20240615162001,74.21
20240615163001,65.88
20240615164001,57.14
20240615165001,47.91
20240703090001,728.49
20240703091001,68.86
20240703092001,343.28
20240703093001,275.08
20240703094001,280.45
20240703095001,257.94
20240703100001,242.61
20240703101001,236.44
20240703102001,237.18
20240703103001,241.97
20240703104001,248.09
20240703105001,253.38
20240703110001,253.45
20240703111001,247.89
20240703112001,243.23
20240703113001,239.15
20240703114001,235.33
20240703115001,231.53
20240703120001,227.59
20240703121001,223.43
20240703122001,219.04
20240703123001,214.39
20240703124001,209.54
20240703125001,204.5
20240703130001,199.32
20240703131001,194.05
20240703132001,188.71
20240703133001,183.31
20240703134001,177.85
20240703135001,172.3
20240703140001,166.68
20240703141001,160.96
20240703142001,155.15
20240703143001,149.24
20240703144001,143.22
20240703145001,137.09
20240703150001,130.83
20240703151001,124.44
20240703152001,117.9
20240703153001,111.19
20240703154001,104.29
20240703155001,97.17
20240703160001,89.81
20240703161001,82.17
20240703162001,74.21
20240703163001,65.88
20240703164001,57.14
20240703165001,47.91
20240707090001,698.09
20240707091001,69.69
20240707092001,374.74
20240707093001,302.42
20240707094001,311.15
20240707095001,279.95
20240707100001,256.89
20240707101001,244.88
20240707102001,242.42
20240707103001,245.05
20240707104001,249.01
20240707105001,252.35
20240707110001,253.45
20240707111001,247.89
20240707112001,243.23
20240707113001,239.15
20240707114001,235.33
20240707115001,231.53
20240707120001,227.59
20240707121001,223.43
20240707122001,219.04
20240707123001,214.39
20240707124001,209.54
20240707125001,204.5
20240707130001,199.32
20240707131001,194.05
20240707132001,188.71
20240707133001,183.31
20240707134001,177.85
20240707135001,172.3
20240707140001,166.68
20240707141001,160.96
20240707142001,155.15
20240707143001,149.24
20240707144001,143.22
20240707145001,137.09
20240707150001,130.83
20240707151001,124.44
20240707152001,117.9
20240707153001,111.19
20240707154001,104.29
20240707155001,97.17
20240707160001,89.81
20240707161001,82.17
20240707162001,74.21
20240707163001,65.88
20240707164001,57.14
20240707165001,47.91
20240125090002,30.23
20240125091002,199.47
20240125092002,252.47
20240125093002,238.32
20240125094002,232.84
20240125095002,235.37
20240125100002,239.25
20240125101002,242.46
20240125102002,248.5
20240125103002,251.95
20240125104002,253.83
20240125105002,255.22
20240125110002,253.45
20240125111002,247.89
20240125112002,243.23
20240125113002,239.15
20240125114002,235.33
20240125115002,231.53
20240125120002,227.59
20240125121002,223.43
20240125122002,219.04
20240125123002,214.39
20240125124002,209.54
20240125125002,204.5
20240125130002,199.32
20240125131002,194.05
20240125132002,188.71
20240125133002,183.31
20240125134002,177.85
20240125135002,172.3
20240125140002,166.68
20240125141002,160.96
20240125142002,155.15
20240125143002,149.24
20240125144002,143.22
20240125145002,137.09
20240125150002,130.83
20240125151002,124.44
20240125152002,117.9
20240125153002,111.19
20240125154002,104.29
20240125155002,97.17
20240125160002,89.81
20240125161002,82.17
20240125162002,74.21
20240125163002,65.88
20240125164002,57.14
20240125165002,47.91
20240128090002,0
20240128091002,250.67
20240128092002,252.88
20240128093002,241.3
20240128094002,235.36
20240128095002,237.93
20240128100002,243.96
20240128101002,250.96
20240128102002,253.84
20240128103002,255.19
20240128104002,256.33
20240128105002,255.39
20240128110002,253.45
20240128111002,247.89
20240128112002,243.23
20240128113002,239.15
20240128114002,235.33
20240128115002,231.53
20240128120002,227.59
20240128121002,223.43
20240128122002,219.04
20240128123002,214.39
20240128124002,209.54
20240128125002,204.5
20240128130002,199.32
20240128131002,194.05
20240128132002,188.71
20240128133002,183.31
20240128134002,177.85
20240128135002,172.3
20240128140002,166.68
20240128141002,160.96
20240128142002,155.15
20240128143002,149.24
20240128144002,143.22
20240128145002,137.09
20240128150002,130.83
20240128151002,124.44
20240128152002,117.9
20240128153002,111.19
20240128154002,104.29
20240128155002,97.17
20240128160002,89.81
20240128161002,82.17
20240128162002,74.21
20240128163002,65.88
20240128164002,57.14
20240128165002,47.91
20240213090002,628.31
20240213091002,2.14
20240213092002,328.39
20240213093002,282.28
20240213094002,289.84
20240213095002,287.7
20240213100002,279.9
20240213101002,275.33
20240213102002,270.48
20240213103002,264.96
20240213104002,261.22
20240213105002,258.08
20240213110002,253.45
20240213111002,247.89
20240213112002,243.23
20240213113002,239.15
20240213114002,235.33
20240213115002,231.53
20240213120002,227.59
20240213121002,223.43
20240213122002,219.04
20240213123002,214.39
20240213124002,209.54
20240213125002,204.5
20240213130002,199.32
20240213131002,194.05
20240213132002,188.71
20240213133002,183.31
20240213134002,177.85
20240213135002,172.3
20240213140002,166.68
20240213141002,160.96
20240213142002,155.15
20240213143002,149.24
20240213144002,143.22
20240213145002,137.09
20240213150002,130.83
20240213151002,124.44
20240213152002,117.9
20240213153002,111.19
20240213154002,104.29
20240213155002,97.17
20240213160002,89.81
20240213161002,82.17
20240213162002,74.21
20240213163002,65.88
20240213164002,57.14
20240213165002,47.91
20240226090002,78.67
20240226091002,189.42
20240226092002,216.61
20240226093002,214.78
20240226094002,224.04
20240226095002,233.72
20240226100002,241.44
20240226101002,248.05
20240226102002,250.32
20240226103002,254.0
20240226104002,256.38
20240226105002,255.98
20240226110002,253.45
20240226111002,247.89
20240226112002,243.23
20240226113002,239.15
20240226114002,235.33
20240226115002,231.53
20240226120002,227.59
20240226121002,223.43
20240226122002,219.04
20240226123002,214.39
20240226124002,209.54
20240226125002,204.5
20240226130002,199.32
20240226131002,194.05
20240226132002,188.71
20240226133002,183.31
20240226134002,177.85
20240226135002,172.3
20240226140002,166.68
20240226141002,160.96
20240226142002,155.15
20240226143002,149.24
20240226144002,143.22
20240226145002,137.09
20240226150002,130.83
20240226151002,124.44
20240226152002,117.9
20240226153002,111.19
20240226154002,104.29
20240226155002,97.17
20240226160002,89.81
20240226161002,82.17
20240226162002,74.21
20240226163002,65.88
20240226164002,57.14
20240226165002,47.91
20240319090002,0
20240319091002,264.01
20240319092002,230.79
20240319093002,244.13
20240319094002,252.26
20240319095002,256.82
20240319100002,260.97
20240319101002,263.67
20240319102002,259.26
20240319103002,258.19
20240319104002,257.57
20240319105002,254.65
20240319110002,253.45
20240319111002,247.89
20240319112002,243.23
20240319113002,239.15
20240319114002,235.33
20240319115002,231.53
20240319120002,227.59
20240319121002,223.43
20240319122002,219.04
20240319123002,214.39
20240319124002,209.54
20240319125002,204.5
20240319130002,199.32
20240319131002,194.05
20240319132002,188.71
20240319133002,183.31
20240319134002,177.85
20240319135002,172.3
20240319140002,166.68
20240319141002,160.96
20240319142002,155.15
20240319143002,149.24
20240319144002,143.22
20240319145002,137.09
20240319150002,130.83
20240319151002,124.44
20240319152002,117.9
20240319153002,111.19
20240319154002,104.29
20240319155002,97.17
20240319160002,89.81
20240319161002,82.17
20240319162002,74.21
20240319163002,65.88
20240319164002,57.14
20240319165002,47.91
20240427090002,237.45
20240427091002,270.36
20240427092002,187.59
20240427093002,221.57
20240427094002,256.44
20240427095002,268.57
20240427100002,269.27
20240427101002,267.04
20240427102002,265.01
20240427103002,264.65
20240427104002,262.51
20240427105002,258.97
20240427110002,253.45
20240427111002,247.89
20240427112002,243.23
20240427113002,239.15
20240427114002,235.33
20240427115002,231.53
20240427120002,227.59
20240427121002,223.43
20240427122002,219.04
20240427123002,214.39
20240427124002,209.54
20240427125002,204.5
20240427130002,199.32
20240427131002,194.05
20240427132002,188.71
20240427133002,183.31
20240427134002,177.85
20240427135002,172.3
20240427140002,166.68
20240427141002,160.96
20240427142002,155.15
20240427143002,149.24
20240427144002,143.22
20240427145002,137.09
20240427150002,130.83
20240427151002,124.44
20240427152002,117.9
20240427153002,111.19
20240427154002,104.29
20240427155002,97.17
20240427160002,89.81
20240427161002,82.17
20240427162002,74.21
20240427163002,65.88
20240427164002,57.14
20240427165002,47.91
20240508090002,337.81
20240508091002,230.04
20240508092002,235.13
20240508093002,242.87
20240508094002,265.89
20240508095002,268.76
20240508100002,264.9
20240508101002,261.66
20240508102002,261.71
20240508103002,263.69
20240508104002,263.1
20240508105002,259.19
20240508110002,253.45
20240508111002,247.89
20240508112002,243.23
20240508113002,239.15
20240508114002,235.33
20240508115002,231.53
20240508120002,227.59
20240508121002,223.43
20240508122002,219.04
20240508123002,214.39
20240508124002,209.54
20240508125002,204.5
20240508130002,199.32
20240508131002,194.05
20240508132002,188.71
20240508133002,183.31
20240508134002,177.85
20240508135002,172.3
20240508140002,166.68
20240508141002,160.96
20240508142002,155.15
20240508143002,149.24
20240508144002,143.22
20240508145002,137.09
20240508150002,130.83
20240508151002,124.44
20240508152002,117.9
20240508153002,111.19
20240508154002,104.29
20240508155002,97.17
20240508160002,89.81
20240508161002,82.17
20240508162002,74.21
20240508163002,65.88
20240508164002,57.14
20240508165002,47.91
20240705090002,485.66
20240705091002,91.78
20240705092002,294.64
20240705093002,262.38
20240705094002,277.32
20240705095002,265.72
20240705100002,251.86
20240705101002,243.98
20240705102002,242.66
20240705103002,245.51
20240705104002,248.93
20240705105002,252.08
20240705110002,253.45
20240705111002,247.89
20240705112002,243.23
20240705113002,239.15
20240705114002,235.33
20240705115002,231.53
20240705120002,227.59
20240705121002,223.43
20240705122002,219.04
20240705123002,214.39
20240705124002,209.54
20240705125002,204.5
20240705130002,199.32
20240705131002,194.05
20240705132002,188.71
20240705133002,183.31
20240705134002,177.85
20240705135002,172.3
20240705140002,166.68
20240705141002,160.96
20240705142002,155.15
20240705143002,149.24
20240705144002,143.22
20240705145002,137.09
20240705150002,130.83
20240705151002,124.44
20240705152002,117.9
20240705153002,111.19
20240705154002,104.29
20240705155002,97.17
20240705160002,89.81
20240705161002,82.17
20240705162002,74.21
20240705163002,65.88
20240705164002,57.14
20240705165002,47.91
20240707090002,480.1
20240707091002,89.71
20240707092002,295.19
20240707093002,261.95
20240707094002,276.54
20240707095002,265.41
20240707100002,251.85
20240707101002,244.19
20240707102002,242.84
20240707103002,245.28
20240707104002,248.83
20240707105002,251.94
20240707110002,253.45
20240707111002,247.89
20240707112002,243.23
20240707113002,239.15
20240707114002,235.33
20240707115002,231.53
20240707120002,227.59
20240707121002,223.43
20240707122002,219.04
20240707123002,214.39
20240707124002,209.54
20240707125002,204.5
20240707130002,199.32
20240707131002,194.05
20240707132002,188.71
20240707133002,183.31
20240707134002,177.85
20240707135002,172.3
20240707140002,166.68
20240707141002,160.96
20240707142002,155.15
20240707143002,149.24
20240707144002,143.22
20240707145002,137.09
20240707150002,130.83
20240707151002,124.44
20240707152002,117.9
20240707153002,111.19
20240707154002,104.29
20240707155002,97.17
20240707160002,89.81
20240707161002,82.17
20240707162002,74.21
20240707163002,65.88
20240707164002,57.14
20240707165002,47.91
20240317090003,962.58
20240317091003,112.02
20240317092003,383.65
20240317093003,316.44
20240317094003,323.51
20240317095003,315.93
20240317100003,300.89
20240317101003,289.21
20240317102003,279.86
20240317103003,270.73
20240317104003,265.72
20240317105003,261.33
20240317110003,253.45
20240317111003,247.89
20240317112003,243.23
20240317113003,239.15
20240317114003,235.33
20240317115003,231.53
20240317120003,227.59
20240317121003,223.43
20240317122003,219.04
20240317123003,214.39
20240317124003,209.54
20240317125003,204.5
20240317130003,199.32
20240317131003,194.05
20240317132003,188.71
20240317133003,183.31
20240317134003,177.85
20240317135003,172.3
20240317140003,166.68
20240317141003,160.96
20240317142003,155.15
20240317143003,149.24
20240317144003,143.22
20240317145003,137.09
20240317150003,130.83
20240317151003,124.44
20240317152003,117.9
20240317153003,111.19
20240317154003,104.29
20240317155003,97.17
20240317160003,89.81
20240317161003,82.17
20240317162003,74.21
20240317163003,65.88
20240317164003,57.14
20240317165003,47.91
20240414090003,859.9
20240414091003,163.42
20240414092003,353.55
20240414093003,290.44
20240414094003,294.14
20240414095003,281.49
20240414100003,267.02
20240414101003,257.87
20240414102003,254.37
20240414103003,254.39
20240414104003,255.2
20240414105003,255.27
20240414110003,253.45
20240414111003,247.89
20240414112003,243.23
20240414113003,239.15
20240414114003,235.33
20240414115003,231.53
20240414120003,227.59
20240414121003,223.43
20240414122003,219.04
20240414123003,214.39
20240414124003,209.54
20240414125003,204.5
20240414130003,199.32
20240414131003,194.05
20240414132003,188.71
20240414133003,183.31
20240414134003,177.85
20240414135003,172.3
20240414140003,166.68
20240414141003,160.96
20240414142003,155.15
20240414143003,149.24
20240414144003,143.22
20240414145003,137.09
20240414150003,130.83
20240414151003,124.44
20240414152003,117.9
20240414153003,111.19
20240414154003,104.29
20240414155003,97.17
20240414160003,89.81
20240414161003,82.17
20240414162003,74.21
20240414163003,65.88
20240414164003,57.14
20240414165003,47.91
20240524090003,159.55
20240524091003,311.46
20240524092003,212.85
20240524093003,225.5
20240524094003,240.58
20240524095003,248.85
20240524100003,251.91
20240524101003,253.76
20240524102003,255.27
20240524103003,256.3
20240524104003,256.27
20240524105003,255.37
20240524110003,253.45
20240524111003,247.89
20240524112003,243.23
20240524113003,239.15
20240524114003,235.33
20240524115003,231.53
20240524120003,227.59
20240524121003,223.43
20240524122003,219.04
20240524123003,214.39
20240524124003,209.54
20240524125003,204.5
20240524130003,199.32
20240524131003,194.05
20240524132003,188.71
20240524133003,183.31
20240524134003,177.85
20240524135003,172.3
20240524140003,166.68
20240524141003,160.96
20240524142003,155.15
20240524143003,149.24
20240524144003,143.22
20240524145003,137.09
20240524150003,130.83
20240524151003,124.44
20240524152003,117.9
20240524153003,111.19
20240524154003,104.29
20240524155003,97.17
20240524160003,89.81
20240524161003,82.17
20240524162003,74.21
20240524163003,65.88
20240524164003,57.14
20240524165003,47.91
20240526090003,151.06
20240526091003,287.81
20240526092003,217.11
20240526093003,225.92
20240526094003,247.02
20240526095003,255.41
20240526100003,256.28
20240526101003,255.69
20240526102003,255.98
20240526103003,256.25
20240526104003,255.24
20240526105003,254.47
20240526110003,253.45
20240526111003,247.89
20240526112003,243.23
20240526113003,239.15
20240526114003,235.33
20240526115003,231.53
20240526120003,227.59
20240526121003,223.43
20240526122003,219.04
20240526123003,214.39
20240526124003,209.54
20240526125003,204.5
20240526130003,199.32
20240526131003,194.05
20240526132003,188.71
20240526133003,183.31
20240526134003,177.85
20240526135003,172.3
20240526140003,166.68
20240526141003,160.96
20240526142003,155.15
20240526143003,149.24
20240526144003,143.22
20240526145003,137.09
20240526150003,130.83
20240526151003,124.44
20240526152003,117.9
20240526153003,111.19
20240526154003,104.29
20240526155003,97.17
20240526160003,89.81
20240526161003,82.17
20240526162003,74.21
20240526163003,65.88
20240526164003,57.14
20240526165003,47.91
20240603090003,81.03
20240603091003,278.45
20240603092003,182.96
20240603093003,207.9
20240603094003,236.25
20240603095003,250.72
20240603100003,255.73
20240603101003,257.06
20240603102003,257.73
20240603103003,258.08
20240603104003,257.38
20240603105003,255.89
20240603110003,253.45
20240603111003,247.89
20240603112003,243.23
20240603113003,239.15
20240603114003,235.33
20240603115003,231.53
20240603120003,227.59
20240603121003,223.43
20240603122003,219.04
20240603123003,214.39
20240603124003,209.54
20240603125003,204.5
20240603130003,199.32
20240603131003,194.05
20240603132003,188.71
20240603133003,183.31
20240603134003,177.85
20240603135003,172.3
20240603140003,166.68
20240603141003,160.96
20240603142003,155.15
20240603143003,149.24
20240603144003,143.22
20240603145003,137.09
20240603150003,130.83
20240603151003,124.44
20240603152003,117.9
20240603153003,111.19
20240603154003,104.29
20240603155003,97.17
20240603160003,89.81
20240603161003,82.17
20240603162003,74.21
20240603163003,65.88
20240603164003,57.14
20240603165003,47.91
20240620090003,944.6
20240620091003,166.18
20240620092003,375.27
20240620093003,307.61
20240620094003,321.27
20240620095003,301.57
20240620100003,279.78
20240620101003,264.8
20240620102003,258.33
20240620103003,256.88
20240620104003,256.72
20240620105003,255.93
20240620110003,253.45
20240620111003,247.89
20240620112003,243.23
20240620113003,239.15
20240620114003,235.33
20240620115003,231.53
20240620120003,227.59
20240620121003,223.43
20240620122003,219.04
20240620123003,214.39
20240620124003,209.54
20240620125003,204.5
20240620130003,199.32
20240620131003,194.05
20240620132003,188.71
20240620133003,183.31
20240620134003,177.85
20240620135003,172.3
20240620140003,166.68
20240620141003,160.96
20240620142003,155.15
20240620143003,149.24
20240620144003,143.22
20240620145003,137.09
20240620150003,130.83
20240620151003,124.44
20240620152003,117.9
20240620153003,111.19
20240620154003,104.29
20240620155003,97.17
20240620160003,89.81
20240620161003,82.17
20240620162003,74.21
20240620163003,65.88
20240620164003,57.14
20240620165003,47.91
20240420090004,964.97
20240420091004,221.29
20240420092004,382.06
20240420093004,338.06
20240420094004,356.56
20240420095004,362.56
20240420100004,344.66
